lobster_id,treatment,temp,cl_mm,weight_kg,status,JAGS_id_23Sep2019,JAGS_id_16Oct2019
IV10,cold,11,78.53,0.439,survived_experiment,6,6
IV11,cold,11,81.04,0.434,survived_experiment,7,7
IV12,cold,11,78.63,0.426,survived_experiment,8,8
IV13,cold,11,76.65,0.406,survived_experiment,9,9
IV14,cold,11,79.44,0.424,survived_experiment,10,10
MM02,cold,11,76.69,0.466,survived_experiment,18,18
IV16,mid,16,73,0.367,survived_experiment,12,12
IV17,mid,16,70,0.302,survived_experiment,13,13
IV18,mid,16,72,0.32,survived_experiment,14,14
GP03,mid,16,71.15,0.372,survived_experiment,2,2
GP05,mid,16,80.51,0.433,survived_experiment,3,3
GP06,mid,16,78.36,0.399,survived_experiment,4,4
N14,hot,21,71.5,0.323,survived_experiment,19,19
N15,hot,21,78,0.408,survived_experiment,20,20
N18,hot,21,77,0.444,survived_experiment,21,21
N19,hot,21,72.8,0.348,survived_experiment,22,22
L3,hot,21,75.9,0.37,survived_experiment,16,16
L4,hot,21,76.5,0.412,survived_experiment,17,17
IV15,extra_hot,26,73,0.315,survived_experiment_respo_redo,11,11
IV15redo,extra_hot,26,73,0.315,survived_experiment_respo_redo,11,11
IV19,extra_hot,26,70,0.308,died_infection_after_hr,15,15
GP01,extra_hot,26,76.92,0.391,survived_experiment,1,1
GP07,extra_hot,26,74,0.377,survived_experiment,5,5
GP08,extra_hot,26,77.5,0.408,died_during_respo,NA,NA
GP09,extra_hot,26,75,0.393,died_during_respo,NA,NA
