"X1","temp","a_avg","a_sd","a_se","a_cv","a_max","a_min"
1,11,0.012,0,0,0,0.0128687360355652,0.0116832455510466
2,16,0.05,0.007,0.00285773803324704,0.14,0.0583547359398875,0.0419477059728721
3,21,0.055,0.003,0.00122474487139159,0.0545454545454545,0.0589390162122487,0.0503704019469686
4,26,0.052,0.007,0.0035,0.134615384615385,0.0612422733370115,0.0468459838665135
