"temp","hour_label1","mean","sd","se","lower_95ci","upper_95ci","hour"
"11","avg01",67.81,22.818,22.818,49.5521164877039,86.067883512296,"0-1"
"11","avg12",30.387,25.268,25.268,10.1686164451842,50.6053835548158,"1-2"
"11","avg23",27.431,14.268,14.268,16.0145468864045,38.8474531135955,"2-3"
"11","avg34",34.955,15.249,15.249,22.7534039836908,47.1565960163092,"3-4"
"11","avg45",29.841,25.439,25.439,9.48587079790525,50.1961292020948,"4-5"
"16","avg01",79.194,9.722,9.722,71.4150940882295,86.9729059117706,"0-1"
"16","avg12",50.103,19.513,19.513,34.4896005152804,65.7163994847196,"1-2"
"16","avg23",60.971,39.316,39.316,29.5123851070241,92.4296148929759,"2-3"
"16","avg34",57.826,33.552,33.552,30.9794906325152,84.6725093674848,"3-4"
"16","avg45",54.982,30.107,30.107,30.8921465648375,79.0718534351625,"4-5"
"21","avg01",95.908,14.778,14.778,84.0835303650684,107.732469634932,"0-1"
"21","avg12",55.988,18.583,18.583,41.1189802608229,70.8570197391771,"1-2"
"21","avg23",51.204,13.003,13.003,40.7994057345569,61.6085942654431,"2-3"
"21","avg34",57.25,22.048,22.048,39.6083216093971,74.8916783906029,"3-4"
"21","avg45",54.815,16.756,16.756,41.4074640525963,68.2225359474037,"4-5"
"26","avg01",86.84,17.701,17.701,69.4934886971686,104.186511302831,"0-1"
"26","avg12",49.346,15.228,15.228,34.4229246741481,64.2690753258518,"1-2"
"26","avg23",40.591,16.433,16.433,24.4867582545704,56.6952417454296,"2-3"
"26","avg34",36.206,14.643,14.643,21.8565348158146,50.5554651841854,"3-4"
"26","avg45",29.259,12.141,12.141,17.3612907667247,41.1567092332753,"4-5"
