"temp","AS_avg","AS_sd","AS_se","AS_cv","AS_min","AS_max","error","upper_95ci","lower_95ci"
"11",2.439,0.577,0.236,0.236572365723657,1.733,3.219,0.461382219369595,2.90038221936959,1.97761778063041
"16",3.329,0.846,0.345,0.254130369480324,2.309,4.812,0.67712022996499,4.00612022996499,2.65187977003501
"21",3.926,0.656,0.268,0.167091186958737,3.203,5.061,0.525029850432622,4.45102985043262,3.40097014956738
"26",3.309,0.671,0.336,0.202780296161982,2.573,3.986,0.65720436612844,3.96620436612844,2.65179563387156
