"temp","SMR_avg","SMR_sd","SMR_se","SMR_cv","SMR_min","SMR_max","error","upper_95ci","lower_95ci"
"11",0.215,0.077,0.031,0.358139534883721,0.112,0.318,0.0617835751754184,0.276783575175418,0.153216424824582
"16",0.372,0.09,0.037,0.241935483870968,0.248,0.503,0.0716200307742127,0.443620030774213,0.300379969225787
"21",0.706,0.2,0.082,0.28328611898017,0.551,1.084,0.160045387015586,0.866045387015586,0.545954612984414
"26",0.926,0.257,0.128,0.277537796976242,0.78,1.31,0.251662539739289,1.17766253973929,0.674337460260711
