"temp","MMR_avg","MMR_sd","MMR_se","MMR_cv","MMR_min","MMR_max","error","upper_95ci","lower_95ci"
"11",2.656,0.531,0.217,0.199924698795181,1.978,3.406,0.424657329181278,3.08065732918128,2.23134267081872
"16",3.701,0.867,0.354,0.234261010537693,2.556,5.197,0.6937169839,4.3947169839,3.0072830161
"21",4.632,0.62,0.253,0.133851468048359,3.754,5.643,0.496458643120994,5.12845864312099,4.13554135687901
"26",4.234,0.614,0.307,0.145016532829476,3.375,4.766,0.601711455739095,4.83571145573909,3.63228854426091
