"temp","MMR50_avg","MMR50_sd","MMR50_se","error","MMR50_upper95","MMR50_lower95"
11,1.306,0.256,0.104511562358749,0.20459792947337,1.51059792947337,1.10140207052663
16,1.819,0.413,0.168606543961575,0.330477154852086,2.14947715485209,1.48852284514791
21,2.294,0.295,0.12043324568684,0.23602267194894,2.53002267194894,2.05797732805106
26,2.1,0.296,0.148,0.290018381501084,2.39001838150108,1.80998161849892
