"temp","time_to_MMR50_avg","time_to_MMR50_sd","time_to_MMR50_se","error","time_to_MMR50_upper95","time_to_MMR50_lower95"
11,36.5,34.553,14.1062031803979,27.6475366172911,64.1475366172911,8.85246338270889
16,22.333,6.121,2.49888778592931,4.89773173943261,27.2307317394326,17.4352682605674
21,25.667,8.406,3.43173512963923,6.72635475815985,32.3933547581599,18.9406452418401
26,86.75,115.728,57.864,113.411130256236,200.161130256236,-26.6611302562363
