"temp","epoc_at_MMR50_avg","epoc_at_MMR50_sd","epoc_at_MMR50_se","error","epoc_at_MMR50_upper95","epoc_at_MMR50_lower95"
11,26.413,30.147,12.3074612126141,24.1217925174782,50.5347925174782,2.29120748252177
16,16.457,3.338,1.36273279356837,2.67091047597535,19.1279104759754,13.7860895240246
21,22.394,2.971,1.21290567096814,2.37696671572812,24.7709667157281,20.0170332842719
26,43.598,39.198,19.599,38.4129423463374,82.0109423463374,5.18505765366256
