"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/8/18 16:42",28,41,0,"IV11","11",2018-12-08 16:42:00
"12/8/18 16:45",28,41,0,"IV11","11",2018-12-08 16:45:00
"12/8/18 16:48",28,40,0,"IV11","11",2018-12-08 16:48:00
"12/8/18 16:51",28,40,0,"IV11","11",2018-12-08 16:51:00
"12/8/18 16:54",28,44,0,"IV11","11",2018-12-08 16:54:00
"12/8/18 16:57",28,43,0,"IV11","11",2018-12-08 16:57:00
"12/8/18 17:00",28,42,0,"IV11","11",2018-12-08 17:00:00
"12/8/18 17:03",28,42,0,"IV11","11",2018-12-08 17:03:00
"12/8/18 17:06",28,42,0,"IV11","11",2018-12-08 17:06:00
"12/8/18 17:09",28,41,0,"IV11","11",2018-12-08 17:09:00
"12/8/18 17:12",28,40,0,"IV11","11",2018-12-08 17:12:00
"12/8/18 17:15",28,39,0,"IV11","11",2018-12-08 17:15:00
"12/8/18 17:18",28,38,0,"IV11","11",2018-12-08 17:18:00
"12/8/18 17:21",28,40,0,"IV11","11",2018-12-08 17:21:00
"12/8/18 17:24",28,42,0,"IV11","11",2018-12-08 17:24:00
"12/8/18 17:27",17,43,0,"IV11","11",2018-12-08 17:27:00
"12/8/18 17:30",17,41,0,"IV11","11",2018-12-08 17:30:00
"12/8/18 17:33",17,41,0,"IV11","11",2018-12-08 17:33:00
"12/8/18 17:36",17,40,0,"IV11","11",2018-12-08 17:36:00
"12/8/18 17:39",17,0,3,"IV11","11",2018-12-08 17:39:00
"12/8/18 17:42",17,0,2,"IV11","11",2018-12-08 17:42:00
"12/8/18 17:45",17,0,2,"IV11","11",2018-12-08 17:45:00
"12/8/18 17:48",22,0,3,"IV11","11",2018-12-08 17:48:00
"12/8/18 17:51",28,45,0,"IV11","11",2018-12-08 17:51:00
"12/8/18 17:54",28,45,0,"IV11","11",2018-12-08 17:54:00
"12/8/18 17:57",17,44,0,"IV11","11",2018-12-08 17:57:00
"12/8/18 18:00",17,44,0,"IV11","11",2018-12-08 18:00:00
"12/8/18 18:03",17,45,0,"IV11","11",2018-12-08 18:03:00
"12/8/18 18:06",17,42,0,"IV11","11",2018-12-08 18:06:00
"12/8/18 18:09",17,43,0,"IV11","11",2018-12-08 18:09:00
"12/8/18 18:12",17,45,0,"IV11","11",2018-12-08 18:12:00
"12/8/18 18:15",17,45,0,"IV11","11",2018-12-08 18:15:00
"12/8/18 18:18",17,43,0,"IV11","11",2018-12-08 18:18:00
"12/8/18 18:21",17,45,0,"IV11","11",2018-12-08 18:21:00
"12/8/18 18:24",17,43,0,"IV11","11",2018-12-08 18:24:00
"12/8/18 18:27",17,43,0,"IV11","11",2018-12-08 18:27:00
"12/8/18 18:30",17,44,0,"IV11","11",2018-12-08 18:30:00
"12/8/18 18:33",17,42,0,"IV11","11",2018-12-08 18:33:00
"12/8/18 18:36",17,41,0,"IV11","11",2018-12-08 18:36:00
