"ID","smr_type","smr","spar","EPOC_full","end_EPOC_min","SMR_intergral_full","SMR_threshold","EPOC_1hr","MO2_1hr","EPOC_2hr","MO2_2hr","EPOC_3hr","MO2_3hr","EPOC_4hr","MO2_4hr","EPOC_5hr","MO2_5hr","end_EPOC.mmr","EPOC_mmr","MO2_mmr","MMR","MMR_percent","scaling_exponent_mmr","scaling_exponent_smr","temp"
"GP01","SMR_low15quant",0.936,1,338.625,642,600.912,0.936,69.528,2.021,129.94,1.87,181.469,1.725,224.478,1.587,259.452,1.457,0,0,0,4.76602442655051,0,1,1,"26"
"IV18","SMR_low15quant",0.6,0.1,657.374,598,358.8,0.6,82.136,1.329,159.908,2.611,278.012,2.458,385.258,2.195,467.487,1.77,27,19.501,1.762,3.56448834960938,49.4320594481139,1,1,"16"
"IV18","SMR_low15quant",0.6,0.2,658.216,600,360,0.6,82.576,1.331,160.958,2.596,279.271,2.465,386.376,2.203,468.623,1.785,28,20.648,1.78,3.56448834960938,49.9370407591616,1,1,"16"
"IV18","SMR_low15quant",0.6,0.3,659.422,604,362.4,0.6,84.769,1.364,163.362,2.529,281.895,2.493,388.606,2.205,471.308,1.825,31,22.198,1.778,3.56448834960938,49.8809317246007,1,1,"16"
"IV18","SMR_low15quant",0.6,0.4,661.425,609,365.4,0.6,90.757,1.548,169.456,2.383,285.954,2.533,392.754,2.199,477.089,1.868,39,23.234,1.763,3.56448834960938,49.4601139653943,1,1,"16"
"IV18","SMR_low15quant",0.6,0.5,664.228,613,367.8,0.6,97.889,1.891,182.719,2.244,291.434,2.474,398.01,2.235,484.954,1.882,317,131.087,1.782,3.56448834960938,49.9931497937224,1,1,"16"
"IV18","SMR_low15quant",0.6,0.6,663.229,610,366,0.6,101.362,2.166,196.485,2.249,299.334,2.343,400.59,2.197,487.079,1.88,315,133.098,1.782,3.56448834960938,49.9931497937224,1,1,"16"
"IV18","SMR_low15quant",0.6,0.7,658.395,599,359.4,0.6,104.255,2.297,205.293,2.279,305.213,2.239,399.546,2.091,481.703,1.843,312,127.359,1.781,3.56448834960938,49.965095276442,1,1,"16"
"IV18","SMR_low15quant",0.6,0.8,656.612,634,380.4,0.6,109.612,2.371,212.496,2.262,308.479,2.136,395.623,1.967,471.321,1.757,293,116.757,1.78,3.56448834960938,49.9370407591616,1,1,"16"
"IV18","SMR_low15quant",0.6,0.9,861.622,1424,854.4,0.6,111.316,2.374,212.615,2.208,303.827,2.037,384.544,1.858,454.29,1.672,264,101.668,1.781,3.56448834960938,49.965095276442,1,1,"16"
"IV18","SMR_low15quant",0.6,1,865.361,1424,854.4,0.6,101.717,2.225,194.773,2.081,279.195,1.938,354.994,1.794,422.237,1.653,244,71.274,1.782,3.56448834960938,49.9931497937224,1,1,"16"
"GP03","SMR_low15quant",0.3,0.1,319.084,725,217.5,0.3,65.165,0.975,97.95,0.815,123.574,0.722,153.122,0.583,173.316,0.676,24,12.762,1.265,2.55644402049731,49.4827968012347,1,1,"16"
"GP03","SMR_low15quant",0.3,0.2,319.713,729,218.7,0.3,65.756,0.956,98.642,0.809,124.542,0.746,153.793,0.61,173.885,0.677,27,13.677,1.257,2.55644402049731,49.1698621179067,1,1,"16"
"GP03","SMR_low15quant",0.3,0.3,348.243,873,261.9,0.3,67.819,0.928,100.009,0.791,126.685,0.769,155.031,0.652,175.3,0.659,31,15.369,1.274,2.55644402049731,49.8348483199787,1,1,"16"
"GP03","SMR_low15quant",0.3,0.4,350.462,885,265.5,0.3,71.394,0.97,102.501,0.76,129.653,0.769,156.768,0.685,177.522,0.629,37,16.781,1.278,2.55644402049731,49.9913156616427,1,1,"16"
"GP03","SMR_low15quant",0.3,0.5,353.025,910,273,0.3,73.765,1.092,107.953,0.751,133.737,0.731,158.855,0.687,179.985,0.628,45,16.685,1.268,2.55644402049731,49.6001473074827,1,1,"16"
"GP03","SMR_low15quant",0.3,0.6,355.674,935,280.5,0.3,72.604,1.207,113.757,0.829,140.474,0.695,162.681,0.651,183.246,0.641,52,14.256,1.272,2.55644402049731,49.7566146491467,1,1,"16"
"GP03","SMR_low15quant",0.3,0.7,357.741,957,287.1,0.3,67.5,1.239,113.903,0.938,145.985,0.756,170.251,0.668,191.314,0.644,53,8.976,1.275,2.55644402049731,49.8739651553947,1,1,"16"
"GP03","SMR_low15quant",0.3,0.8,359.862,1002,300.6,0.3,59.908,1.196,107.67,1.008,145.428,0.863,175.83,0.761,201.402,0.699,36,2.269,1.276,2.55644402049731,49.9130819908107,1,1,"16"
"GP03","SMR_low15quant",0.3,0.9,362.664,1074,322.2,0.3,53.036,1.129,99.371,1.021,139.552,0.924,174.346,0.841,204.589,0.772,0,0,0,2.55644402049731,0,1,1,"16"
"GP03","SMR_low15quant",0.3,1,371.014,1102,330.6,0.3,47.683,1.061,91.202,0.992,130.682,0.926,166.31,0.864,198.311,0.805,0,0,0,2.55644402049731,0,1,1,"16"
"IV17","SMR_low15quant",0.36,0.1,597.184,630,226.8,0.36,93.96,1.313,132.742,1.06,168.201,1.043,204.107,0.767,240.601,1.59,19,17.158,1.973,3.96955783733444,49.7032687480596,1,1,"16"
"IV17","SMR_low15quant",0.36,0.2,598.255,636,228.96,0.36,95.107,1.253,134.388,1.009,170.055,1.032,205.698,0.768,242.695,1.596,21,18.096,1.958,3.96955783733444,49.3253929086167,1,1,"16"
"IV17","SMR_low15quant",0.36,0.3,607.047,727,261.72,0.36,98.912,1.169,137.288,0.96,173.439,1.019,207.926,0.776,247.196,1.603,25,19.942,1.967,3.96955783733444,49.5521184122825,1,1,"16"
"IV17","SMR_low15quant",0.36,0.4,624.886,865,311.4,0.36,105.14,1.218,142.249,0.92,177.668,0.974,210.187,0.832,255.154,1.6,30,21.117,1.984,3.96955783733444,49.9803776969845,1,1,"16"
"IV17","SMR_low15quant",0.36,0.5,629.082,882,317.52,0.36,109.567,1.44,152.358,0.887,182.471,0.866,214.638,0.964,267.599,1.6,36,19.51,1.966,3.96955783733444,49.5269266896529,1,1,"16"
"IV17","SMR_low15quant",0.36,0.6,639.899,1154,415.44,0.36,106.62,1.617,159.77,0.992,191.706,0.865,227.099,1.079,284.431,1.563,38,13.628,1.971,3.96955783733444,49.6528853028006,1,1,"16"
"IV17","SMR_low15quant",0.36,0.7,645.843,1140,410.4,0.36,94.127,1.654,158.062,1.253,206.117,1.118,253.683,1.218,312.255,1.456,24,2.932,1.984,3.96955783733444,49.9803776969845,1,1,"16"
"IV17","SMR_low15quant",0.36,0.8,651.326,918,330.48,0.36,82.686,1.636,153.781,1.471,217.312,1.384,278.012,1.371,339.447,1.399,0,0,0,3.96955783733444,0,1,1,"16"
