temp,ID,BW,SMR,MMR,AAS,FAS
21,N18,0.444,0.70910121,4.503234524,3.794133314,6.350623099
21,L4,0.412,0.551134877,3.754457737,3.20332286,6.812230357
21,N14,0.323,0.58242053,5.643304044,5.060883515,9.689397535
21,L3,0.37,1.083969919,4.662231239,3.578261319,4.30107068
21,N19,0.348,0.574992196,4.852340556,4.277348359,8.438967673
21,N15,0.408,0.733361438,4.375164601,3.641803162,5.965904902
11,IV11,0.434,0.317630257,2.692003675,2.374373417,8.475274674
11,IV13,0.406,0.22906439,1.961705609,1.732641219,8.637309282
11,MM02,0.466,0.282756934,2.14126273,1.858505796,7.572803616
11,IV10,0.439,0.187085453,3.406361638,3.219276185,18.20751739
11,IV12,0.426,0.112146148,2.995652715,2.883506567,26.71204282
11,IV14,0.424,0.159039495,2.724266449,2.565226953,17.12949631
26,GP07,0.408,0.802060616,3.374564918,2.572504301,4.207368932
26,IV19,0.308,1.310412772,4.231889306,2.921476534,3.22943228
26,GP01,0.391,0.78033318,4.766024427,3.985691247,6.10767881
16,IV18,0.32,0.502969852,3.56448835,3.061518498,7.08688272
16,GP03,0.372,0.247517435,2.55644402,2.308926585,10.32833916
16,IV17,0.302,0.298222424,3.969557837,3.671335413,13.31072889
16,GP06,0.399,0.390298968,3.50376106,3.113462092,8.977120999
16,GP05,0.433,0.410419537,3.415012414,3.004592878,8.320784243
16,IV16,0.367,0.384490116,5.196602191,4.812112075,13.51556769
26,IV15,0.315,0.809848486,4.564627653,3.754779167,5.636397094
