"temp","consump_avg","consump_sd","consump_se","consump_cv","consump_max","consump_min","error","upper_95ci","lower_95ci"
"11",2.056,3.506,0.826372124946679,1.70525291828794,10,0,1.61958144268734,3.67558144268734,0.43641855731266
"16",13.947,8.86,2.03262340209318,0.635262063526206,33,2,3.98380461559019,17.9308046155902,9.96319538440981
"21",15.167,7.808,1.84036324916819,0.514801872486319,30,4,3.60721502285027,18.7742150228503,11.5597849771497
"26",19.667,6.8,1.96299091524473,0.345756851578787,29,6,3.84749234888064,23.5144923488806,15.8195076511194
