"tind","estimate",".lower",".upper",".width",".point",".interval","temp","parameter"
1,0.0124909010612712,0.00685147127353,0.03838720767176,0.95,"median","qi","11","a"
2,0.049153702471195,0.0405438325943847,0.0612678450303501,0.95,"median","qi","16","a"
3,0.0542083578540809,0.0441252363705107,0.0662298614298448,0.95,"median","qi","21","a"
4,0.0510091736367994,0.0410327700062924,0.0642110107793553,0.95,"median","qi","26","a"
1,16.9904034244913,6.54001723798879,39.1047949905545,0.95,"median","qi","11","h"
2,1.31878012684515,0.616435623055787,2.86262380447088,0.95,"median","qi","16","h"
3,1.43734818306466,0.671440824839495,3.11026496279024,0.95,"median","qi","21","h"
4,0.906149233821072,0.358783969866377,2.35641487610303,0.95,"median","qi","26","h"
