"Metabolic.Trait","Pearson.s.Correlation.Coefficient..r.","R2","p.value"
"SMR",0.415,0.172225,0.055
"MMR",0.458,0.209764,0.032
"AAS",0.384,0.147456,0.077
"FAS",-0.401,0.160801,0.065
