X,Bin ECG
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,504
12/9/18 14:09,504
12/9/18 14:09,504
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,504
12/9/18 14:09,506
12/9/18 14:09,504
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,504
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,507
12/9/18 14:09,505
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,503
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,508
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,509
12/9/18 14:09,505
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,504
12/9/18 14:09,508
12/9/18 14:09,505
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,505
12/9/18 14:09,505
12/9/18 14:09,508
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,504
12/9/18 14:09,507
12/9/18 14:09,508
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,507
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,505
12/9/18 14:09,508
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,507
12/9/18 14:09,507
12/9/18 14:09,505
12/9/18 14:09,508
12/9/18 14:09,505
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,517
12/9/18 14:09,513
12/9/18 14:09,500
12/9/18 14:09,503
12/9/18 14:09,503
12/9/18 14:09,504
12/9/18 14:09,506
12/9/18 14:09,505
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,506
12/9/18 14:09,506
