X,Bin ECG
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,511
6/11/19 15:59,508
6/11/19 15:59,507
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,507
6/11/19 15:59,509
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,500
6/11/19 15:59,516
6/11/19 15:59,501
6/11/19 15:59,500
6/11/19 15:59,502
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,508
6/11/19 15:59,506
6/11/19 15:59,500
6/11/19 15:59,497
6/11/19 15:59,501
6/11/19 15:59,498
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,510
6/11/19 15:59,536
6/11/19 15:59,487
6/11/19 15:59,485
6/11/19 15:59,486
6/11/19 15:59,493
6/11/19 15:59,494
6/11/19 15:59,503
6/11/19 15:59,508
6/11/19 15:59,499
6/11/19 15:59,498
6/11/19 15:59,501
6/11/19 15:59,500
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,509
6/11/19 15:59,496
6/11/19 15:59,507
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,508
6/11/19 15:59,510
6/11/19 15:59,508
6/11/19 15:59,509
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,508
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,500
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,535
6/11/19 15:59,494
6/11/19 15:59,487
6/11/19 15:59,489
6/11/19 15:59,496
6/11/19 15:59,497
6/11/19 15:59,497
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,500
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,508
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,508
6/11/19 15:59,509
6/11/19 15:59,509
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,499
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,531
6/11/19 15:59,490
6/11/19 15:59,487
6/11/19 15:59,491
6/11/19 15:59,493
6/11/19 15:59,497
6/11/19 15:59,500
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,517
6/11/19 15:59,501
6/11/19 15:59,499
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,493
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,507
6/11/19 15:59,506
6/11/19 15:59,511
6/11/19 15:59,502
6/11/19 15:59,497
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,533
6/11/19 15:59,493
6/11/19 15:59,486
6/11/19 15:59,492
6/11/19 15:59,498
6/11/19 15:59,501
6/11/19 15:59,498
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,501
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,508
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,500
6/11/19 15:59,499
6/11/19 15:59,501
6/11/19 15:59,511
6/11/19 15:59,498
6/11/19 15:59,499
6/11/19 15:59,500
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,506
6/11/19 15:59,535
6/11/19 15:59,491
6/11/19 15:59,487
6/11/19 15:59,492
6/11/19 15:59,495
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,507
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,535
6/11/19 15:59,500
6/11/19 15:59,484
6/11/19 15:59,488
6/11/19 15:59,496
6/11/19 15:59,500
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,500
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,518
6/11/19 15:59,525
6/11/19 15:59,487
6/11/19 15:59,488
6/11/19 15:59,493
6/11/19 15:59,496
6/11/19 15:59,503
6/11/19 15:59,498
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,501
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,500
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,530
6/11/19 15:59,489
6/11/19 15:59,482
6/11/19 15:59,496
6/11/19 15:59,494
6/11/19 15:59,498
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,501
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,531
6/11/19 15:59,495
6/11/19 15:59,487
6/11/19 15:59,491
6/11/19 15:59,497
6/11/19 15:59,495
6/11/19 15:59,500
6/11/19 15:59,499
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,507
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,502
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,501
6/11/19 15:59,501
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,502
6/11/19 15:59,502
6/11/19 15:59,503
6/11/19 15:59,507
6/11/19 15:59,530
6/11/19 15:59,489
6/11/19 15:59,487
6/11/19 15:59,493
6/11/19 15:59,495
6/11/19 15:59,499
6/11/19 15:59,500
6/11/19 15:59,503
6/11/19 15:59,504
6/11/19 15:59,502
6/11/19 15:59,505
6/11/19 15:59,503
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,505
6/11/19 15:59,505
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,504
6/11/19 15:59,506
6/11/19 15:59,505
6/11/19 15:59,507
6/11/19 15:59,505
6/11/19 15:59,505
