X,Bin ECG
12/11/18 14:09,521
12/11/18 14:09,519
12/11/18 14:09,501
12/11/18 14:09,498
12/11/18 14:09,501
12/11/18 14:09,505
12/11/18 14:09,508
12/11/18 14:09,501
12/11/18 14:09,502
12/11/18 14:09,501
12/11/18 14:09,503
12/11/18 14:09,504
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,506
12/11/18 14:09,505
12/11/18 14:09,507
12/11/18 14:09,506
12/11/18 14:09,506
12/11/18 14:09,505
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,509
12/11/18 14:09,505
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,506
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,509
12/11/18 14:09,508
12/11/18 14:09,507
12/11/18 14:09,506
12/11/18 14:09,509
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,506
12/11/18 14:09,507
12/11/18 14:09,506
12/11/18 14:09,508
12/11/18 14:09,530
12/11/18 14:09,513
12/11/18 14:09,496
12/11/18 14:09,497
12/11/18 14:09,503
12/11/18 14:09,509
12/11/18 14:09,502
12/11/18 14:09,499
12/11/18 14:09,501
12/11/18 14:09,502
12/11/18 14:09,505
12/11/18 14:09,506
12/11/18 14:09,506
12/11/18 14:09,507
12/11/18 14:09,505
12/11/18 14:09,506
12/11/18 14:09,508
12/11/18 14:09,506
12/11/18 14:09,506
12/11/18 14:09,506
12/11/18 14:09,507
12/11/18 14:09,506
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,508
12/11/18 14:09,507
12/11/18 14:09,507
12/11/18 14:09,508
12/11/18 14:09,507
